ano (uid);ano (nome);local (uid);local (nome);categoria (uid);categoria (nome);estatistica (uid);estatistica (nome);grupoetario (uid);grupoetario (nome);escolaridade (uid);escolaridade (nome);conjugal (uid);conjugal (nome);prenatal (uid);prenatal (nome);consultas (uid);consultas (nome);gravidez (uid);gravidez (nome);gestacao (uid);gestacao (nome);parto (uid);parto (nome);lococor (uid);lococor (nome);assistido (uid);assistido (nome);apgar1 (uid);apgar1 (nome);apgar5 (uid);apgar5 (nome);robson (uid);robson (nome);peso (uid);peso (nome);racacor (uid);racacor (nome);sexo (uid);sexo (nome);anomalia (uid);anomalia (nome);funcao (uid);funcao (nome);Kotelchuck (uid);Kotelchuck (nome);abrangencia (uid);abrangencia (nome);localidade (uid);localidade (nome);Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Ano
2011;2011;1;Nascidos vivos por residência;1;Notificação de nascidos;1;Número de nascidos;6000;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;1;País;76;Brasil;241.340;232.583;270.964;254.299;267.725;249.989;245.348;239.623;231.749;226.337;222.808;230.395;2.913.160
2011;2011;1;Nascidos vivos por residência;1;Notificação de nascidos;1;Número de nascidos;6000;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;2;Região;1;Norte;25.347;23.103;26.673;26.108;27.396;25.790;25.821;26.634;26.522;27.250;26.938;26.163;313.745
2011;2011;1;Nascidos vivos por residência;1;Notificação de nascidos;1;Número de nascidos;6000;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;3;Unidade da federação;11;Rondônia;2.185;2.061;2.435;2.402;2.479;2.297;2.251;2.395;2.298;2.366;2.331;2.158;27.658
2011;2011;1;Nascidos vivos por residência;1;Notificação de nascidos;1;Número de nascidos;6000;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;3;Unidade da federação;12;Acre;1.409;1.306;1.514;1.522;1.742;1.473;1.485;1.455;1.427;1.540;1.494;1.450;17.817
2011;2011;1;Nascidos vivos por residência;1;Notificação de nascidos;1;Número de nascidos;6000;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;3;Unidade da federação;13;Amazonas;6.362;5.696;6.503;6.104;6.342;5.986;6.175;6.510;6.482;6.772;6.647;6.623;76.202
2011;2011;1;Nascidos vivos por residência;1;Notificação de nascidos;1;Número de nascidos;6000;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;3;Unidade da federação;14;Roraima;877;716;777;803;832;786;816;785;884;852;887;930;9.945
2011;2011;1;Nascidos vivos por residência;1;Notificação de nascidos;1;Número de nascidos;6000;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;3;Unidade da federação;15;Pará;11.335;10.365;11.992;11.717;12.246;11.865;11.837;12.090;12.132;12.440;12.167;11.788;141.974
2011;2011;1;Nascidos vivos por residência;1;Notificação de nascidos;1;Número de nascidos;6000;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;3;Unidade da federação;16;Amapá;1.232;1.128;1.272;1.271;1.266;1.200;1.297;1.260;1.267;1.375;1.325;1.221;15.114
2011;2011;1;Nascidos vivos por residência;1;Notificação de nascidos;1;Número de nascidos;6000;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;3;Unidade da federação;17;Tocantins;1.947;1.831;2.180;2.289;2.489;2.183;1.960;2.139;2.032;1.905;2.087;1.993;25.035
2011;2011;1;Nascidos vivos por residência;1;Notificação de nascidos;1;Número de nascidos;6000;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;2;Região;2;Nordeste;65.727;63.063;76.877;74.492;80.717;75.704;72.277;69.984;70.462;69.008;66.721;65.972;851.004
2011;2011;1;Nascidos vivos por residência;1;Notificação de nascidos;1;Número de nascidos;6000;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;3;Unidade da federação;21;Maranhão;9.437;8.633;10.012;10.118;11.095;10.474;10.550;10.271;10.611;10.487;9.883;9.538;121.109
2011;2011;1;Nascidos vivos por residência;1;Notificação de nascidos;1;Número de nascidos;6000;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;0;Todos;3;Unidade da federação;22;Piauí;4.016;3.735;4.447;4.390;4.630;4.421;4.241;3.957;4.260;4.122;4.025;3.900;50.144
